file,path,speaker,speaker_type,command,sample_rate,channels,duration,peak,rms,clipping,silence,source,note
20260908_164913.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_164913.m4a,stranger1,stranger1,unknown,48000,2,10.752,6691.0,1094.3,0.0,0.3464,m4a,
20260908_164920.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_164920.m4a,stranger1,stranger1,unknown,48000,2,14.72,9661.0,1192.3,0.0,0.255,m4a,
20260908_164928.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_164928.m4a,stranger1,stranger1,unknown,48000,2,12.16,25835.0,3234.6,0.0,0.1681,m4a,
20260908_164938.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_164938.m4a,stranger1,stranger1,unknown,48000,2,22.827,27071.0,1595.7,0.0,0.1499,m4a,
20260908_164951.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_164951.m4a,stranger1,stranger1,unknown,48000,2,15.957,6369.0,1261.6,0.0,0.0695,m4a,
20260908_165000.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_165000.m4a,stranger1,stranger1,unknown,48000,2,28.373,5768.0,914.0,0.0,0.0729,m4a,
20260908_165015.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_165015.m4a,stranger1,stranger1,unknown,48000,2,11.093,7275.0,1198.8,0.0,0.1583,m4a,
20260908_165022.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_165022.m4a,stranger1,stranger1,unknown,48000,2,19.925,6299.0,962.1,0.0,0.2022,m4a,
20260908_165033.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_165033.m4a,stranger1,stranger1,unknown,48000,2,17.152,7886.0,966.4,0.0,0.1215,m4a,
20260908_165043.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_165043.m4a,stranger1,stranger1,unknown,48000,2,21.12,7079.0,1143.0,0.0,0.1056,m4a,
20260908_165300.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger2\20260908_165300.m4a,stranger2,stranger2,unknown,48000,2,17.237,4478.0,445.6,0.0,0.4257,m4a,
20260908_165310.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger2\20260908_165310.m4a,stranger2,stranger2,unknown,48000,2,15.531,4105.0,781.8,0.0,0.1151,m4a,
20260908_165319.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger2\20260908_165319.m4a,stranger2,stranger2,unknown,48000,2,20.437,4486.0,753.6,0.0,0.2805,m4a,
20260908_165331.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger2\20260908_165331.m4a,stranger2,stranger2,unknown,48000,2,18.56,6226.0,800.1,0.0,0.4019,m4a,
20260908_165407.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger2\20260908_165407.m4a,stranger2,stranger2,unknown,48000,2,23.381,7266.0,868.1,0.0,0.2971,m4a,
20260908_165434.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger2\20260908_165434.m4a,stranger2,stranger2,unknown,48000,2,25.856,8337.0,1023.1,0.0,0.1194,m4a,
20260908_165448.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger2\20260908_165448.m4a,stranger2,stranger2,unknown,48000,2,21.12,8524.0,949.5,0.0,0.1275,m4a,
20260908_165501.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger2\20260908_165501.m4a,stranger2,stranger2,unknown,48000,2,48.341,10997.0,1060.1,0.0,0.1297,m4a,
20260908_165526.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger2\20260908_165526.m4a,stranger2,stranger2,unknown,48000,2,19.072,8330.0,1008.9,0.0,0.112,m4a,
20260908_165537.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger2\20260908_165537.m4a,stranger2,stranger2,unknown,48000,2,14.805,6984.0,1054.6,0.0,0.0786,m4a,
forward.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\commands\forward\forward.m4a,owner_cmds,owner,forward,48000,2,22.016,13855.0,1439.6,0.0,0.16,m4a,
left.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\commands\left\left.m4a,owner_cmds,owner,left,48000,2,19.413,11990.0,1635.2,0.0,0.3984,m4a,
right.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\commands\right\right.m4a,owner_cmds,owner,right,48000,2,29.696,14687.0,1898.5,0.0,0.3124,m4a,
stop.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\commands\stop\stop.m4a,owner_cmds,owner,stop,48000,2,26.965,9857.0,1110.4,0.0,0.153,m4a,
